Name,Games Played,Games Started,Complete Games,Inn,Ch,Putouts,A,Errors,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,Age,Position,Total Salary,Contract Length,Average Yearly Salary,PA,AB,Runs Scored,Hits,2B,3B,HR,RBI,SB,CS_y,BB,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,W,L,W-L%,ERA,G,GF,SV,IP,Hits Allowed,Runs Allowed,ER,Home Runs Allowed,BB Allowed,SO,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Status_Arbitration Year 2,Status_Arbitration Year 3,Status_Pre-Arbitration,Status_Veteran
Eddie Rosario,130,122,90,1057.0,231,223,4,4,1,0.983,6.0,7.0,3,3,1.93,1.62,31,OF,18000000,2,9000000,516.0,478.0,64.0,122.0,24.0,3.0,21.0,74.0,3.0,4.0,34.0,122.0,0.255,0.305,0.45,0.755,100.0,215.0,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
Kevin Pillar,77,42,33,424.0,104,102,1,1,0,0.99,2.0,6.0,2,6,2.19,1.29,34,OF,3000000,1,3000000,206.0,197.0,29.0,45.0,10.0,0.0,9.0,32.0,4.0,1.0,6.0,50.0,0.228,0.248,0.416,0.664,74.0,82.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
Marcell Ozuna,2,2,1,14.0,3,3,0,0,0,1.0,0.0,34.0,-1,-86,1.93,0.02,32,OF,65000000,4,16250000,592.0,530.0,84.0,145.0,29.0,1.0,40.0,100.0,0.0,0.0,57.0,134.0,0.274,0.346,0.558,0.905,138.0,296.0,9.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
Ronald Acuna Jr.,157,157,147,1361.0,296,281,10,5,1,0.983,6.0,5.0,-2,-2,1.92,1.84,25,OF,100000000,8,12500000,735.0,643.0,149.0,217.0,35.0,4.0,41.0,106.0,73.0,14.0,80.0,84.0,0.337,0.416,0.596,1.012,168.0,383.0,15.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
Sam Hilliard,31,19,15,187.0,38,38,0,0,0,1.0,-2.0,-16.0,1,6,1.83,1.12,29,OF,750000,1,750000,78.0,72.0,15.0,17.0,5.0,0.0,3.0,6.0,4.0,0.0,6.0,33.0,0.236,0.295,0.431,0.725,92.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
Michael Harris II,138,137,133,1205.0,316,306,8,2,2,0.994,-8.0,-8.0,2,2,2.35,2.28,22,OF,72000000,8,9000000,539.0,505.0,76.0,148.0,33.0,3.0,18.0,57.0,20.0,4.0,25.0,101.0,0.293,0.331,0.477,0.808,114.0,241.0,8.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
Raisel Iglesias,58,0,0,55.2,9,5,4,0,2,1.0,0.0,0.0,1,4,1.46,0.16,33,RP,58000000,4,14500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.556,2.75,58.0,50.0,33.0,55.2,51.0,23.0,17.0,7.0,15.0,68.0,231.0,162.0,3.26,1.186,8.2,1.1,2.4,11.0,4.53,0,0,0,1
Nick Anderson,35,0,0,35.1,2,2,0,0,0,1.0,0.0,0.0,1,6,0.51,0.06,32,RP,875000,1,875000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.06,35.0,3.0,1.0,35.1,30.0,14.0,12.0,3.0,9.0,36.0,141.0,146.0,3.09,1.104,7.6,0.8,2.3,9.2,4.0,0,0,0,1
Michael Tonkin,45,0,0,80.0,4,1,3,0,0,1.0,0.0,0.0,-2,-5,0.45,0.09,33,RP,750000,1,750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.7,4.28,45.0,11.0,1.0,80.0,64.0,41.0,38.0,13.0,23.0,75.0,325.0,104.0,4.43,1.088,7.2,1.5,2.6,8.4,3.26,0,0,1,0
Jackson Stephens,5,0,0,12.0,4,2,2,0,0,1.0,0.0,0.0,-1,-17,3.0,0.8,29,RP,740000,1,740000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,12.0,13.0,4.0,4.0,1.0,5.0,11.0,52.0,152.0,3.76,1.5,9.8,0.8,3.8,8.3,2.2,0,0,1,0
